Category,SubCategory1,SubCategory2,SubCategory3,Q12018,Q22018,Q32018,Q42018,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,Q32020
Exports of goods and services,Overall,Overall,Overall,2507.2,2550.3,2523.9,2533.4,2523.5,2514.6,2505.2,2515.7,2438.7,1788.2,2071.9
Exports of goods,Overall,Overall,Overall,1635.4,1693.5,1660.5,1666.3,1660.6,1631.1,1626.0,1629.1,1599.0,1135.1,1407.0
Exports of goods,"Foods, feeds, and beverages",Overall,Overall,131.2,145.0,133.2,123.2,129.5,133.6,132.7,128.6,131.1,124.6,137.6
Exports of goods,Industrial supplies and materials,Overall,Overall,512.8,545.5,545.3,544.4,528.5,528.6,519.1,531.2,535.4,370.2,431.8
Exports of goods,Industrial supplies and materials,Durable goods,Overall,139.8,140.1,135.6,135.1,134.0,130.6,129.6,128.7,131.9,102.1,122.9
Exports of goods,Industrial supplies and materials,Nondurable goods,Overall,373.0,405.4,409.8,409.3,394.5,397.9,389.5,402.5,403.5,268.2,308.9
Exports of goods,Industrial supplies and materials,Nondurable goods,Petroleum and products,170.8,196.9,199.1,200.1,190.9,195.9,189.5,203.4,202.2,98.5,131.0
Exports of goods,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",202.3,208.5,210.7,209.2,203.6,202.0,200.0,199.2,201.3,169.7,177.9
Exports of goods,"Capital goods, except automotive",Overall,Overall,557.4,566.0,561.5,568.6,568.3,542.0,540.0,542.1,527.4,396.4,447.0
Exports of goods,"Capital goods, except automotive","Civilian aircraft, engines, and parts",Overall,128.1,130.2,127.7,137.1,138.8,119.6,120.5,124.7,112.7,50.2,59.6
Exports of goods,"Capital goods, except automotive","Computers, peripherals, and parts",Overall,48.6,50.2,48.4,50.8,51.3,48.8,44.5,42.9,42.8,37.1,41.0
Exports of goods,"Capital goods, except automotive",Other,Overall,380.7,385.7,385.4,380.7,378.2,373.6,375.0,374.5,371.9,309.1,346.4
Exports of goods,"Automotive vehicles, engines, and parts",Overall,Overall,165.5,161.0,155.2,153.6,163.8,161.8,165.3,159.0,151.3,62.2,147.8
Exports of goods,"Consumer goods, except food and automotive",Overall,Overall,204.1,205.0,204.5,208.5,210.3,204.8,205.9,199.2,187.9,133.9,180.4
Exports of goods,"Consumer goods, except food and automotive",Durable goods,Overall,115.7,112.5,112.4,112.6,111.5,109.4,104.7,103.6,93.9,51.4,87.7
Exports of goods,"Consumer goods, except food and automotive",Nondurable goods,Overall,88.4,92.5,92.1,95.9,98.8,95.4,101.2,95.6,94.0,82.5,92.6
