,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
2019-01-05,350681,159.60,220000,220750,2172537,127.10,1709000,1704500,1.5,1.2,143051794
2019-01-12,343678,159.20,216000,220750,2090268,122.90,1701000,1706250,1.5,1.2,143051794
2019-01-19,269369,128.60,209000,218250,2124743,122.00,1742000,1709750,1.5,1.2,143051794
2019-01-26,250580,106.10,236000,220250,2098575,122.40,1715000,1716750,1.5,1.2,143051794
2019-02-02,254263,110.60,230000,222750,2142462,124.50,1721000,1719750,1.5,1.2,143051794
2019-02-09,242762,106.30,228000,225750,2084361,121.50,1716000,1723500,1.5,1.2,143051794
2019-02-16,210679,96.70,218000,228000,2125992,122.10,1741000,1723250,1.5,1.2,143051794
2019-02-23,203049,90.80,224000,225000,2112404,121.50,1739000,1729250,1.5,1.2,143051794
2019-03-02,220540,100.20,220000,222500,2088410,120.70,1730000,1731500,1.5,1.2,143051794
2019-03-09,209302,93.40,224000,221500,2008348,115.80,1734000,1736000,1.4,1.2,143051794
2019-03-16,194335,88.90,219000,221750,2009317,116.00,1732000,1733750,1.4,1.2,143051794
2019-03-23,190023,88.50,215000,219500,1908355,111.00,1719000,1728750,1.3,1.2,143051794
2019-03-30,183775,87.30,211000,217250,1861690,109.20,1705000,1722500,1.3,1.2,143051794
2019-04-06,196071,96.50,203000,212000,1730108,103.80,1667000,1705750,1.2,1.2,143629179
2019-04-13,196364,96.60,203000,208000,1703576,102.70,1659000,1687500,1.2,1.2,143629179
2019-04-20,211762,93.80,226000,210750,1647874,98.00,1682000,1678250,1.1,1.2,143629179
2019-04-27,204755,88.90,230000,215500,1633529,97.00,1684000,1673000,1.1,1.2,143629179
2019-05-04,204033,90.80,225000,221000,1539086,91.70,1678000,1675750,1.1,1.2,143629179
2019-05-11,188264,86.90,217000,224500,1543472,91.70,1683000,1681750,1.1,1.2,143629179
2019-05-18,191931,89.90,213000,221250,1509265,90.10,1675000,1680000,1.1,1.2,143629179
2019-05-25,198194,90.90,218000,218250,1521741,89.80,1695000,1682750,1.1,1.2,143629179
2019-06-01,189577,86.20,220000,217000,1538065,90.50,1700000,1688250,1.1,1.2,143629179
2019-06-08,220186,99.90,220000,217750,1522665,90.80,1677000,1686750,1.1,1.2,143629179
2019-06-15,205921,93.90,219000,219250,1558646,92.10,1692000,1691000,1.1,1.2,143629179
2019-06-22,225819,100.70,224000,220750,1588879,93.50,1699000,1692000,1.1,1.2,143629179
2019-06-29,224565,101.00,222000,221250,1610633,93.80,1717000,1696250,1.1,1.2,143629179
2019-07-06,231995,110.20,211000,219000,1702745,100.50,1694000,1700500,1.2,1.2,144199701
2019-07-13,243621,112.10,217000,218500,1697505,100.90,1682000,1698000,1.2,1.2,144199701
2019-07-20,196382,93.10,211000,215250,1680029,98.90,1699000,1698000,1.2,1.2,144199701
2019-07-27,178897,82.90,216000,213750,1665287,98.40,1692000,1691750,1.2,1.2,144199701
2019-08-03,179879,84.00,214000,214500,1679471,97.70,1719000,1698000,1.2,1.2,144199701
2019-08-10,186914,85.70,218000,214750,1619391,96.00,1687000,1699250,1.1,1.2,144199701
